City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,mont-laurier,46.5501,-75.4993,277.27,50,98,0.31,CA,1698613652
254,ryazhsk,53.7038,40.1109,273.79,87,100,5.65,RU,1698613653
255,ponchatoula,30.4388,-90.4415,303.68,56,75,5.14,US,1698613472
256,mammoth lakes,37.6485,-118.9721,283.55,14,0,4.63,US,1698613655
257,chifeng,42.2683,118.9636,280.06,46,1,1.41,CN,1698613656
258,margate,51.3813,1.3862,284.99,87,83,1.34,GB,1698613657
259,gifford,27.6753,-80.4092,302.07,68,0,5.66,US,1698613658
260,lianzhou,24.7811,112.3825,290.67,95,24,1.24,CN,1698613658
261,pervomayskiy,53.2485,40.2871,274.18,86,100,5.61,RU,1698613659
262,iranshahr,27.2025,60.6848,299.34,47,0,3.09,IR,1698613660
263,kruisfontein,-34.0033,24.7314,285.16,63,58,3.12,ZA,1698613253
264,mbanza kongo,-6.267,14.2401,296.81,85,76,1.64,AO,1698613662
265,xuddur,4.1213,43.8894,294.55,93,100,5.32,SO,1698613663
266,hvardiiske,45.1209,34.0185,288.33,72,0,1.79,UA,1698613664
267,rio grande,-32.035,-52.0986,300.21,90,72,4.02,BR,1698613665
268,mahina,-17.5065,-149.489,301.02,74,75,4.63,PF,1698613666
269,buique,-8.6231,-37.1558,297.9,44,85,5.36,BR,1698613499
270,san julian,21.0167,-102.1667,299.4,30,17,1.92,MX,1698613667
271,homer,59.6425,-151.5483,282.09,66,100,2.06,US,1698613668
272,nemuro,43.3236,145.575,282.65,71,21,4.4,JP,1698613545
273,chinde,26.8418,88.0763,286.82,75,0,2.22,NP,1698613670
274,atafu village,-8.5421,-172.5159,302.23,70,96,4.72,TK,1698613671
275,garden city,42.3256,-83.331,282.81,79,100,4.63,US,1698613342
276,ust'-kulom,61.6864,53.6902,267.48,92,100,3.72,RU,1698613672
277,kyaikkami,16.08,97.5675,299.66,84,95,1.89,MM,1698613673
278,launceston,-41.45,147.1667,285.82,93,75,7.72,AU,1698613631
279,lubango,-14.9172,13.4925,291.68,69,27,2.09,AO,1698613676
280,santa elena de uairen,4.6167,-61.1333,298.25,61,100,2.62,VE,1698613676
281,bardai,11.65,7.2333,298.85,22,52,3.7,NG,1698613677
282,dacice,49.0815,15.4373,282.43,89,96,1.28,CZ,1698613678
283,chibougamau,49.9168,-74.3659,272.62,46,100,2.46,CA,1698613679
284,damghan,36.1683,54.348,289.97,36,4,1.31,IR,1698613680
285,palikir - national government center,6.9248,158.1611,300.84,76,89,6.02,FM,1698613681
286,lata,40.1629,-8.3327,290.27,96,74,2.05,PT,1698613558
287,neryungri,56.6709,124.6491,262.99,93,100,3.63,RU,1698613683
288,ifanadiana,-21.3,47.6333,292.9,94,87,0.74,MG,1698613684
289,pleiku,13.9833,108.0,292.07,98,100,1.74,VN,1698613685
290,isangel,-19.55,169.2667,296.92,63,18,4.82,VU,1698613668
291,zahedan,29.4963,60.8629,288.1,51,0,4.12,IR,1698613493
292,san antonio de pale,-1.4014,5.6325,299.72,82,5,4.11,GQ,1698613499
293,nova sintra,14.8667,-24.7167,296.23,67,81,3.91,CV,1698613688
294,timimoun,29.2639,0.231,301.11,20,99,1.56,DZ,1698613689
295,al bardiyah,31.7561,25.0865,294.68,79,35,1.97,LY,1698613690
296,carutapera,-1.195,-46.02,300.14,73,76,4.44,BR,1698613475
